"ID","DPTO","PROV","DIST","NOMBRE"
"1","00","00","00","PERU"
"2","01","00","00","AMAZONAS"
"3","01","01","00","CHACHAPOYAS"
"4","01","01","01","CHACHAPOYAS"
"5","01","01","02","ASUNCION"
"6","01","01","03","BALSAS"
"7","01","01","04","CHETO"
"8","01","01","05","CHILIQUIN"
"9","01","01","06","CHUQUIBAMBA"
"10","01","01","07","GRANADA"
"11","01","01","08","HUANCAS"
"12","01","01","09","LA JALCA"
"13","01","01","10","LEIMEBAMBA"
"14","01","01","11","LEVANTO"
"15","01","01","12","MAGDALENA"
"16","01","01","13","MARISCAL CASTILLA"
"17","01","01","14","MOLINOPAMPA"
"18","01","01","15","MONTEVIDEO"
"19","01","01","16","OLLEROS"
"20","01","01","17","QUINJALCA"
"21","01","01","18","SAN FRANCISCO DE DAGUAS"
"22","01","01","19","SAN ISIDRO DE MAINO"
"23","01","01","20","SOLOCO"
"24","01","01","21","SONCHE"
"25","01","02","00","BAGUA"
"26","01","02","01","LA PECA"
"27","01","02","02","ARAMANGO"
"28","01","02","03","COPALLIN"
"29","01","02","04","EL PARCO"
"30","01","02","05","IMAZA"
"31","01","03","00","BONGARA"
"32","01","03","01","JUMBILLA"
"33","01","03","02","CHISQUILLA"
"34","01","03","03","CHURUJA"
"35","01","03","04","COROSHA"
"36","01","03","05","CUISPES"
"37","01","03","06","FLORIDA"
"38","01","03","07","JAZAN"
"39","01","03","08","RECTA"
"40","01","03","09","SAN CARLOS"
"41","01","03","10","SHIPASBAMBA"
"42","01","03","11","VALERA"
"43","01","03","12","YAMBRASBAMBA"
"44","01","04","00","CONDORCANQUI"
"45","01","04","01","NIEVA"
"46","01","04","02","EL CENEPA"
"47","01","04","03","RIO SANTIAGO"
"48","01","05","00","LUYA"
"49","01","05","01","LAMUD"
"50","01","05","02","CAMPORREDONDO"
"51","01","05","03","COCABAMBA"
"52","01","05","04","COLCAMAR"
"53","01","05","05","CONILA"
"54","01","05","06","INGUILPATA"
"55","01","05","07","LONGUITA"
"56","01","05","08","LONYA CHICO"
"57","01","05","09","LUYA"
"58","01","05","10","LUYA VIEJO"
"59","01","05","11","MARIA"
"60","01","05","12","OCALLI"
"61","01","05","13","OCUMAL"
"62","01","05","14","PISUQUIA"
"63","01","05","15","PROVIDENCIA"
"64","01","05","16","SAN CRISTOBAL"
"65","01","05","17","SAN FRANCISCO DEL YESO"
"66","01","05","18","SAN JERONIMO"
"67","01","05","19","SAN JUAN DE LOPECANCHA"
"68","01","05","20","SANTA CATALINA"
"69","01","05","21","SANTO TOMAS"
"70","01","05","22","TINGO"
"71","01","05","23","TRITA"
"72","01","06","00","RODRIGUEZ DE MENDOZA"
"73","01","06","01","SAN NICOLAS"
"74","01","06","02","CHIRIMOTO"
"75","01","06","03","COCHAMAL"
"76","01","06","04","HUAMBO"
"77","01","06","05","LIMABAMBA"
"78","01","06","06","LONGAR"
"79","01","06","07","MARISCAL BENAVIDES"
"80","01","06","08","MILPUC"
"81","01","06","09","OMIA"
"82","01","06","10","SANTA ROSA"
"83","01","06","11","TOTORA"
"84","01","06","12","VISTA ALEGRE"
"85","01","07","00","UTCUBAMBA"
"86","01","07","01","BAGUA GRANDE"
"87","01","07","02","CAJARURO"
"88","01","07","03","CUMBA"
"89","01","07","04","EL MILAGRO"
"90","01","07","05","JAMALCA"
"91","01","07","06","LONYA GRANDE"
"92","01","07","07","YAMON"
"93","02","00","00","ANCASH"
"94","02","01","00","HUARAZ"
"95","02","01","01","HUARAZ"
"96","02","01","02","COCHABAMBA"
"97","02","01","03","COLCABAMBA"
"98","02","01","04","HUANCHAY"
"99","02","01","05","INDEPENDENCIA"
"100","02","01","06","JANGAS"
"101","02","01","07","LA LIBERTAD"
"102","02","01","08","OLLEROS"
"103","02","01","09","PAMPAS"
"104","02","01","10","PARIACOTO"
"105","02","01","11","PIRA"
"106","02","01","12","TARICA"
"107","02","02","00","AIJA"
"108","02","02","01","AIJA"
"109","02","02","02","CORIS"
"110","02","02","03","HUACLLAN"
"111","02","02","04","LA MERCED"
"112","02","02","05","SUCCHA"
"113","02","03","00","ANTONIO RAYMONDI"
"114","02","03","01","LLAMELLIN"
"115","02","03","02","ACZO"
"116","02","03","03","CHACCHO"
"117","02","03","04","CHINGAS"
"118","02","03","05","MIRGAS"
"119","02","03","06","SAN JUAN DE RONTOY"
"120","02","04","00","ASUNCION"
"121","02","04","01","CHACAS"
"122","02","04","02","ACOCHACA"
"123","02","05","00","BOLOGNESI"
"124","02","05","01","CHIQUIAN"
"125","02","05","02","ABELARDO PARDO LEZAMETA"
"126","02","05","03","ANTONIO RAYMONDI"
"127","02","05","04","AQUIA"
"128","02","05","05","CAJACAY"
"129","02","05","06","CANIS"
"130","02","05","07","COLQUIOC"
"131","02","05","08","HUALLANCA"
"132","02","05","09","HUASTA"
"133","02","05","10","HUAYLLACAYAN"
"134","02","05","11","LA PRIMAVERA"
"135","02","05","12","MANGAS"
"136","02","05","13","PACLLON"
"137","02","05","14","SAN MIGUEL DE CORPANQUI"
"138","02","05","15","TICLLOS"
"139","02","06","00","CARHUAZ"
"140","02","06","01","CARHUAZ"
"141","02","06","02","ACOPAMPA"
"142","02","06","03","AMASHCA"
"143","02","06","04","ANTA"
"144","02","06","05","ATAQUERO"
"145","02","06","06","MARCARA"
"146","02","06","07","PARIAHUANCA"
"147","02","06","08","SAN MIGUEL DE ACO"
"148","02","06","09","SHILLA"
"149","02","06","10","TINCO"
"150","02","06","11","YUNGAR"
"151","02","07","00","CARLOS FERMIN FITZCARRALD"
"152","02","07","01","SAN LUIS"
